n_0,component,beta,volume,S,Z,betaE,betaF,betaOmega,betamu,dens,n,betapV,PE_n,betaF_n
99,0,0.6666666666666666,512.0,362.03602005230584,0.8195143434343409,84.30500133333334,-277.7310187189725,-81.13191999999975,-1.9858494820098258,0.193359375,99.0,81.13191999999975,-0.9726514949494949,-2.8053638254441666
100,0,0.6666666666666666,512.0,364.24606153431574,0.819681299999993,84.53298333333333,-279.7130782009824,-81.96812999999929,-1.9774494820098312,0.1953125,100.0,81.96812999999929,-0.9820052499999999,-2.797130782009824
101,0,0.6666666666666666,512.0,366.43161768299217,0.8197200000000371,84.7457,-281.68591768299217,-82.79172000000375,-1.9692494820097863,0.197265625,101.0,82.79172000000375,-0.991400495049505,-2.7889694820098234
102,0,0.6666666666666666,512.0,368.59781716500197,0.8185783333333247,84.94624,-283.651577165002,-83.49498999999912,-1.962319482009832,0.19921875,102.0,83.49498999999912,-1.000790588235294,-2.7808978153431565
103,0,0.6666666666666666,512.0,370.74497664701187,0.8181785436893022,85.13442,-285.61055664701183,-84.27238999999813,-1.9547394820098418,0.201171875,103.0,84.27238999999813,-1.010178349514563,-2.772918025699144
104,0,0.6666666666666666,512.0,372.873949462355,0.8184306730769371,85.31289333333334,-287.56105612902167,-85.11679000000146,-1.9465794820098097,0.203125,104.0,85.11679000000146,-1.0195255769230769,-2.7650101550867467
105,0,0.6666666666666666,512.0,374.9848089443648,0.8174587619047645,85.48109333333333,-289.50371561103145,-85.83317000000028,-1.9397194820098207,0.205078125,105.0,85.83317000000028,-1.0288415238095239,-2.757178243914585
106,0,0.6666666666666666,512.0,377.0758350930413,0.817344150943361,85.63534000000001,-291.4404950930413,-86.63847999999626,-1.932094482009859,0.20703125,106.0,86.63847999999626,-1.0381791509433962,-2.7494386329532197
107,0,0.6666666666666666,512.0,379.14811124171786,0.8177716355140285,85.78020666666667,-293.36790457505117,-87.50156500000105,-1.9239844820098142,0.208984375,107.0,87.50156500000105,-1.047473738317757,-2.7417561175238427
108,0,0.6666666666666666,512.0,381.19867739039427,0.817472962963003,85.91021333333333,-295.28846405706093,-88.28708000000432,-1.9166794820097834,0.2109375,108.0,88.28708000000432,-1.0568025925925926,-2.7341524449727865
109,0,0.6666666666666666,512.0,383.2303502057374,0.8171726146788622,86.02908666666667,-297.20126353907074,-89.07181499999598,-1.9094444820098602,0.212890625,109.0,89.07181499999598,-1.0661134862385322,-2.7266170966887224
110,0,0.6666666666666666,512.0,385.2450396877473,0.8170282727272422,86.13768666666667,-299.10735302108066,-89.87310999999664,-1.9021294820098547,0.21484375,110.0,89.87310999999664,-1.0753951818181817,-2.719157754737097
111,0,0.6666666666666666,512.0,387.24022916975713,0.8169019819820135,86.23470666666667,-301.00552250309045,-90.6761200000035,-1.8948594820097924,0.216796875,111.0,90.6761200000035,-1.0846661261261261,-2.711761463991806
112,0,0.6666666666666666,512.0,389.2166053184336,0.8169036607142972,86.31953333333334,-302.89707198510024,-91.49321000000128,-1.887534482009812,0.21875,112.0,91.49321000000128,-1.0939348214285716,-2.704438142724109
113,0,0.6666666666666666,512.0,391.1739448004434,0.8166038938053294,86.39335333333334,-304.78059146711007,-92.27624000000222,-1.880569482009804,0.220703125,113.0,92.27624000000222,-1.103185575221239,-2.6971733758151335
114,0,0.6666666666666666,512.0,393.1127242824532,0.8160398245614082,86.45451333333334,-306.65821094911985,-93.02854000000053,-1.8739444820098186,0.22265625,114.0,93.02854000000053,-1.1124406140350878,-2.6899843065712266
115,0,0.6666666666666666,512.0,395.0319670977964,0.815926869565218,86.50348666666667,-308.5284804311297,-93.83159000000006,-1.866929482009823,0.224609375,115.0,93.83159000000006,-1.121693652173913,-2.6828563515750408
116,0,0.6666666666666666,512.0,396.93219657980615,0.8155892241378916,86.54012666666668,-310.3920699131395,-94.60834999999543,-1.8602044820098627,0.2265625,116.0,94.60834999999543,-1.1309466379310344,-2.675793706147754
117,0,0.6666666666666666,512.0,398.8124827284828,0.8157494444444049,86.56359333333334,-312.24888939514943,-95.44268499999538,-1.8530444820098637,0.228515625,117.0,95.44268499999538,-1.1402103418803418,-2.668793926454269
118,0,0.6666666666666666,512.0,400.67341221049253,0.8158843220339458,86.57525333333334,-314.0981588771592,-96.2743500000056,-1.8459644820097765,0.23046875,118.0,96.2743500000056,-1.149467118644068,-2.6618488040437223
119,0,0.6666666666666666,512.0,402.51713169250235,0.8157903781512742,86.57631333333335,-315.940818359169,-97.07905500000163,-1.8391744820098097,0.232421875,119.0,97.07905500000163,-1.1587019327731092,-2.654964860161084
120,0,0.6666666666666666,512.0,404.34291450784553,0.8160330833332893,86.56640666666668,-317.77650784117884,-97.92396999999471,-1.8321044820098678,0.234375,120.0,97.92396999999471,-1.1679199166666665,-2.648137565343157
121,0,0.6666666666666666,512.0,406.14812065652205,0.8158893801652753,86.54309333333333,-319.6050273231887,-98.72261499999831,-1.825474482009838,0.236328125,121.0,98.72261499999831,-1.17715173553719,-2.641363862175113
122,0,0.6666666666666666,512.0,407.93567013853186,0.8160168032786854,86.50821333333333,-321.4274568051985,-99.55404999999962,-1.818634482009827,0.23828125,122.0,99.55404999999962,-1.1863744262295084,-2.6346512852885122
123,0,0.6666666666666666,512.0,409.70372295387506,0.8164366666666532,86.46142666666667,-323.2422962872084,-100.42170999999834,-1.8115494820098377,0.240234375,123.0,100.42170999999834,-1.1955923577235772,-2.627986148676491
124,0,0.6666666666666666,512.0,411.45284910255157,0.8165509677419391,86.40229333333335,-325.0505557692182,-101.25232000000045,-1.8048244820098205,0.2421875,124.0,101.25232000000045,-1.2048109677419354,-2.6213754497517594
125,0,0.6666666666666666,512.0,413.18233191789466,0.8161760800000484,86.33038666666667,-326.851945251228,-102.02201000000605,-1.7986394820097757,0.244140625,125.0,102.02201000000605,-1.21403536,-2.614815562009824
126,0,0.6666666666666666,512.0,414.9000080665711,0.8159566666666612,86.25217333333335,-328.64783473323774,-102.81053999999932,-1.7923594820098288,0.24609375,126.0,102.81053999999932,-1.2231884126984125,-2.60831614867649
127,0,0.6666666666666666,512.0,416.595077548581,0.8163040157480254,86.15841333333333,-330.4366642152477,-103.67060999999921,-1.7855594820098304,0.248046875,127.0,103.67060999999921,-1.2323809448818899,-2.6018634977578556
128,0,0.6666666666666666,512.0,418.2695270305908,0.8166960937500041,86.05057333333335,-332.2189536972574,-104.53710000000052,-1.7787644820098194,0.25,128.0,104.53710000000052,-1.24159484375,-2.5954605757598235
